"","project.ref","id","text","percentage","encodedText"
"64","EP/N028228/1","5858EC49-4786-4440-8352-1AB0B6DC5F23","Psychology",20,"Psychology"
"65","EP/K031686/1","FA25733D-A456-4A1B-9D5C-7119577368D9","Manufacturing",50,"Manufacturing"
"66","EP/K031686/1","DEA11FBC-BEED-4EDD-890B-97D728462D26","Mathematical sciences",50,"Mathematical+sciences"
"67","EP/D001730/1","64596636-AE88-4F6E-A816-9C4C203E1197","Catalysis & surfaces",70,"Catalysis+%26+surfaces"
"68","EP/D001730/1","E847DD9B-2053-4BC7-97A9-4213B185C968","Materials sciences",30,"Materials+sciences"
"69","EP/H027270/1","DEA11FBC-BEED-4EDD-890B-97D728462D26","Mathematical sciences",50,"Mathematical+sciences"
"70","EP/H027270/1","6723A70B-A523-40AB-9740-B6AD2A0677B7","Medical & health interface",50,"Medical+%26+health+interface"
"71","EP/E04414X/1","E847DD9B-2053-4BC7-97A9-4213B185C968","Materials sciences",100,"Materials+sciences"
"72","EP/M001946/1","64596636-AE88-4F6E-A816-9C4C203E1197","Catalysis & surfaces",60,"Catalysis+%26+surfaces"
"73","EP/M001946/1","666CC8F4-4525-49AF-91C1-5675E0C8ADDF","Chem. React. Dyn. & mechanisms",40,"Chem.+React.+Dyn.+%26+mechanisms"
"74","EP/V046527/1","DEA11FBC-BEED-4EDD-890B-97D728462D26","Mathematical sciences",100,"Mathematical+sciences"
"75","EP/H027998/1","DEA11FBC-BEED-4EDD-890B-97D728462D26","Mathematical sciences",100,"Mathematical+sciences"
"76","EP/F06599X/1","C087E953-30F3-4968-B0F3-D48A5998A2B4","Civil eng. & built environment",10,"Civil+eng.+%26+built+environment"
"77","EP/F06599X/1","EB5F16BB-2772-4DDE-BD6C-3B7A6914B64C","Info. & commun. Technol.",15,"Info.+%26+commun.+Technol."
"78","EP/F06599X/1","772CD758-53CD-407F-9B2C-F2B861E86155","Mechanical Engineering",40,"Mechanical+Engineering"
"79","EP/F06599X/1","FB535BD0-E265-4C0A-8532-32DCB83A3951","Tools, technologies & methods",35,"Tools%2C+technologies+%26+methods"
"80","EP/R031193/1","EB5F16BB-2772-4DDE-BD6C-3B7A6914B64C","Info. & commun. Technol.",100,"Info.+%26+commun.+Technol."
"81","EP/J006793/1","772CD758-53CD-407F-9B2C-F2B861E86155","Mechanical Engineering",100,"Mechanical+Engineering"
"82","EP/E021956/1","C087E953-30F3-4968-B0F3-D48A5998A2B4","Civil eng. & built environment",100,"Civil+eng.+%26+built+environment"
"83","EP/J016721/1","EB5F16BB-2772-4DDE-BD6C-3B7A6914B64C","Info. & commun. Technol.",100,"Info.+%26+commun.+Technol."
"84","EP/N015452/1","DEA11FBC-BEED-4EDD-890B-97D728462D26","Mathematical sciences",100,"Mathematical+sciences"
"85","EP/R035407/1","99E0B904-CAB5-4511-AFB3-AA6D2B171F97","Process engineering",100,"Process+engineering"
"86","EP/K033972/1","DEA11FBC-BEED-4EDD-890B-97D728462D26","Mathematical sciences",100,"Mathematical+sciences"
"87","EP/M017133/1","EB5F16BB-2772-4DDE-BD6C-3B7A6914B64C","Info. & commun. Technol.",100,"Info.+%26+commun.+Technol."
"88","EP/G028427/1","C88380A2-9C65-425D-B4FB-4E289FACB800","Atomic & molecular physics",100,"Atomic+%26+molecular+physics"
"89","EP/K034952/1","C087E953-30F3-4968-B0F3-D48A5998A2B4","Civil eng. & built environment",75,"Civil+eng.+%26+built+environment"
"90","EP/K034952/1","F95121C7-7C31-40CE-BDBC-1E2BF025AEA6","Energy",25,"Energy"
"91","EP/I033467/1","FA25733D-A456-4A1B-9D5C-7119577368D9","Manufacturing",40,"Manufacturing"
"92","EP/I033467/1","772CD758-53CD-407F-9B2C-F2B861E86155","Mechanical Engineering",30,"Mechanical+Engineering"
"93","EP/I033467/1","53F27348-198B-4AEF-A34B-8307067F507C","Systems engineering",30,"Systems+engineering"
"94","EP/H044140/2","60EBB420-734E-4DB5-B0F2-65A1115A27F8","Chemical synthesis",100,"Chemical+synthesis"
"95","EP/E032435/1","53F27348-198B-4AEF-A34B-8307067F507C","Systems engineering",100,"Systems+engineering"
"96","EP/I001727/1","9C124926-5968-486F-9B51-CCEB6C4E9650","Particle physics - theory",100,"Particle+physics+-+theory"
"97","EP/P008402/1","EB5F16BB-2772-4DDE-BD6C-3B7A6914B64C","Info. & commun. Technol.",90,"Info.+%26+commun.+Technol."
"98","EP/P008402/1","E847DD9B-2053-4BC7-97A9-4213B185C968","Materials sciences",10,"Materials+sciences"
"99","EP/K033476/1","7D5D2DB2-0A64-42AF-A644-5F541B832A29","Economics",25,"Economics"
"100","EP/K033476/1","EB5F16BB-2772-4DDE-BD6C-3B7A6914B64C","Info. & commun. Technol.",25,"Info.+%26+commun.+Technol."
"101","EP/K033476/1","5858EC49-4786-4440-8352-1AB0B6DC5F23","Psychology",50,"Psychology"
"102","EP/N034384/1","DEA11FBC-BEED-4EDD-890B-97D728462D26","Mathematical sciences",100,"Mathematical+sciences"
"103","EP/L025531/1","E847DD9B-2053-4BC7-97A9-4213B185C968","Materials sciences",100,"Materials+sciences"
"104","EP/T021985/1","F95121C7-7C31-40CE-BDBC-1E2BF025AEA6","Energy",100,"Energy"
"105","EP/D031311/1","C087E953-30F3-4968-B0F3-D48A5998A2B4","Civil eng. & built environment",100,"Civil+eng.+%26+built+environment"
"106","EP/L027402/1","EB5F16BB-2772-4DDE-BD6C-3B7A6914B64C","Info. & commun. Technol.",100,"Info.+%26+commun.+Technol."
"107","EP/K030043/1","F95121C7-7C31-40CE-BDBC-1E2BF025AEA6","Energy",100,"Energy"
"108","EP/I002588/1","F95121C7-7C31-40CE-BDBC-1E2BF025AEA6","Energy",100,"Energy"
"109","EP/V050451/1","DEA11FBC-BEED-4EDD-890B-97D728462D26","Mathematical sciences",100,"Mathematical+sciences"
"110","EP/I004181/1","EB5F16BB-2772-4DDE-BD6C-3B7A6914B64C","Info. & commun. Technol.",100,"Info.+%26+commun.+Technol."
"111","EP/J018716/1","DEA11FBC-BEED-4EDD-890B-97D728462D26","Mathematical sciences",100,"Mathematical+sciences"
"112","EP/G026009/1","D513F43E-F19D-4AB3-8E03-A47B085709AB","Materials Processing",25,"Materials+Processing"
"113","EP/G026009/1","E847DD9B-2053-4BC7-97A9-4213B185C968","Materials sciences",75,"Materials+sciences"
"114","EP/L022273/1","6723A70B-A523-40AB-9740-B6AD2A0677B7","Medical & health interface",34,"Medical+%26+health+interface"
"115","EP/F00186X/1","666CC8F4-4525-49AF-91C1-5675E0C8ADDF","Chem. React. Dyn. & mechanisms",55,"Chem.+React.+Dyn.+%26+mechanisms"
"116","EP/F00186X/1","863FC58A-7217-42EA-B076-663F2D770BB8","Chemical measurement",45,"Chemical+measurement"
"117","EP/E06227X/1","EB5F16BB-2772-4DDE-BD6C-3B7A6914B64C","Info. & commun. Technol.",100,"Info.+%26+commun.+Technol."
"118","EP/M029212/1","F95121C7-7C31-40CE-BDBC-1E2BF025AEA6","Energy",80,"Energy"
"119","EP/M029212/1","895D1683-DC4B-4292-BBC6-EC38672BFD10","RCUK Programmes",0,"RCUK+Programmes"
"120","EP/E011179/2","64596636-AE88-4F6E-A816-9C4C203E1197","Catalysis & surfaces",20,"Catalysis+%26+surfaces"
"121","EP/E011179/2","60EBB420-734E-4DB5-B0F2-65A1115A27F8","Chemical synthesis",20,"Chemical+synthesis"
"122","EP/E011179/2","99E0B904-CAB5-4511-AFB3-AA6D2B171F97","Process engineering",60,"Process+engineering"
"123","EP/T00424X/1","F95121C7-7C31-40CE-BDBC-1E2BF025AEA6","Energy",30,"Energy"
"124","EP/T00424X/1","772CD758-53CD-407F-9B2C-F2B861E86155","Mechanical Engineering",70,"Mechanical+Engineering"
"125","EP/P030165/1","772CD758-53CD-407F-9B2C-F2B861E86155","Mechanical Engineering",50,"Mechanical+Engineering"
"126","EP/K020781/1","60EBB420-734E-4DB5-B0F2-65A1115A27F8","Chemical synthesis",100,"Chemical+synthesis"
"127","EP/I013229/1","F95121C7-7C31-40CE-BDBC-1E2BF025AEA6","Energy",100,"Energy"
"128","EP/J009741/1","863FC58A-7217-42EA-B076-663F2D770BB8","Chemical measurement",20,"Chemical+measurement"
"129","EP/J009741/1","E847DD9B-2053-4BC7-97A9-4213B185C968","Materials sciences",40,"Materials+sciences"
"130","EP/J009741/1","97B14C81-E082-430E-BC8F-733274083163","Supercond, magn. &quant.fluids",40,"Supercond%2C+magn.+%26quant.fluids"
"131","EP/E062814/1","AEB7EC61-1574-4583-8B00-BD32275F29A6","Complexity Science",40,"Complexity+Science"
"132","EP/E062814/1","EB5F16BB-2772-4DDE-BD6C-3B7A6914B64C","Info. & commun. Technol.",30,"Info.+%26+commun.+Technol."
"133","EP/E062814/1","DEA11FBC-BEED-4EDD-890B-97D728462D26","Mathematical sciences",30,"Mathematical+sciences"
"134","EP/L02232X/1","FA25733D-A456-4A1B-9D5C-7119577368D9","Manufacturing",60,"Manufacturing"
"135","EP/L02232X/1","9CD2DA3B-F052-4076-95ED-10F46E76C382","Optics, photonics & lasers",40,"Optics%2C+photonics+%26+lasers"
"136","EP/P034497/1","64596636-AE88-4F6E-A816-9C4C203E1197","Catalysis & surfaces",100,"Catalysis+%26+surfaces"
"137","EP/R003777/1","60EBB420-734E-4DB5-B0F2-65A1115A27F8","Chemical synthesis",50,"Chemical+synthesis"
"138","EP/G001855/1","DEA11FBC-BEED-4EDD-890B-97D728462D26","Mathematical sciences",100,"Mathematical+sciences"
"139","EP/D072786/1","EB5F16BB-2772-4DDE-BD6C-3B7A6914B64C","Info. & commun. Technol.",100,"Info.+%26+commun.+Technol."
"140","EP/G044163/1","EB5F16BB-2772-4DDE-BD6C-3B7A6914B64C","Info. & commun. Technol.",100,"Info.+%26+commun.+Technol."
"141","EP/N004272/1","E847DD9B-2053-4BC7-97A9-4213B185C968","Materials sciences",100,"Materials+sciences"
"142","EP/R02331X/1","F95121C7-7C31-40CE-BDBC-1E2BF025AEA6","Energy",40,"Energy"
"143","EP/R02331X/1","6BF947B0-8E6E-48DB-AB68-7130938F2DF2","Instrument. sensor & detectors",10,"Instrument.+sensor+%26+detectors"
"144","EP/R02331X/1","FA25733D-A456-4A1B-9D5C-7119577368D9","Manufacturing",50,"Manufacturing"
"145","EP/M009602/1","E847DD9B-2053-4BC7-97A9-4213B185C968","Materials sciences",0,"Materials+sciences"
"146","EP/F013140/1","E847DD9B-2053-4BC7-97A9-4213B185C968","Materials sciences",100,"Materials+sciences"
"147","EP/R008280/1","E847DD9B-2053-4BC7-97A9-4213B185C968","Materials sciences",0,"Materials+sciences"
"148","EP/J001597/1","EB5F16BB-2772-4DDE-BD6C-3B7A6914B64C","Info. & commun. Technol.",50,"Info.+%26+commun.+Technol."
"149","EP/J001597/1","E847DD9B-2053-4BC7-97A9-4213B185C968","Materials sciences",50,"Materials+sciences"
"150","EP/E040063/1","E847DD9B-2053-4BC7-97A9-4213B185C968","Materials sciences",100,"Materials+sciences"
"151","EP/F036701/1","DEA11FBC-BEED-4EDD-890B-97D728462D26","Mathematical sciences",100,"Mathematical+sciences"
"152","EP/I001204/1","64596636-AE88-4F6E-A816-9C4C203E1197","Catalysis & surfaces",5,"Catalysis+%26+surfaces"
"153","EP/I001204/1","C087E953-30F3-4968-B0F3-D48A5998A2B4","Civil eng. & built environment",90,"Civil+eng.+%26+built+environment"
"154","EP/I001204/1","D513F43E-F19D-4AB3-8E03-A47B085709AB","Materials Processing",5,"Materials+Processing"
"155","EP/F066937/1","7D5D2DB2-0A64-42AF-A644-5F541B832A29","Economics",20,"Economics"
"156","EP/F066937/1","EB5F16BB-2772-4DDE-BD6C-3B7A6914B64C","Info. & commun. Technol.",50,"Info.+%26+commun.+Technol."
"157","EP/F066937/1","4A856E02-8C94-4981-B572-E381EEB60DD2","Media",30,"Media"
"158","EP/D071674/1","DEA11FBC-BEED-4EDD-890B-97D728462D26","Mathematical sciences",100,"Mathematical+sciences"
"159","EP/E020801/1","DEA11FBC-BEED-4EDD-890B-97D728462D26","Mathematical sciences",100,"Mathematical+sciences"
"160","EP/E003168/1","DEA11FBC-BEED-4EDD-890B-97D728462D26","Mathematical sciences",50,"Mathematical+sciences"
"161","EP/E003168/1","FB535BD0-E265-4C0A-8532-32DCB83A3951","Tools, technologies & methods",50,"Tools%2C+technologies+%26+methods"
"162","EP/F008724/1","772CD758-53CD-407F-9B2C-F2B861E86155","Mechanical Engineering",100,"Mechanical+Engineering"
"163","EP/E029825/1","E847DD9B-2053-4BC7-97A9-4213B185C968","Materials sciences",100,"Materials+sciences"
"164","EP/I017461/1","9CD2DA3B-F052-4076-95ED-10F46E76C382","Optics, photonics & lasers",100,"Optics%2C+photonics+%26+lasers"
"165","EP/F062583/1","F95121C7-7C31-40CE-BDBC-1E2BF025AEA6","Energy",100,"Energy"
"166","EP/T028084/1","772CD758-53CD-407F-9B2C-F2B861E86155","Mechanical Engineering",100,"Mechanical+Engineering"
"167","EP/H011676/1","EB5F16BB-2772-4DDE-BD6C-3B7A6914B64C","Info. & commun. Technol.",100,"Info.+%26+commun.+Technol."
"168","EP/E012329/1","EB5F16BB-2772-4DDE-BD6C-3B7A6914B64C","Info. & commun. Technol.",100,"Info.+%26+commun.+Technol."
"169","EP/N023080/1","EB5F16BB-2772-4DDE-BD6C-3B7A6914B64C","Info. & commun. Technol.",40,"Info.+%26+commun.+Technol."
"170","EP/N023080/1","6723A70B-A523-40AB-9740-B6AD2A0677B7","Medical & health interface",60,"Medical+%26+health+interface"
"171","EP/E036333/1","DEA11FBC-BEED-4EDD-890B-97D728462D26","Mathematical sciences",100,"Mathematical+sciences"
"172","EP/K015699/1","EB5F16BB-2772-4DDE-BD6C-3B7A6914B64C","Info. & commun. Technol.",100,"Info.+%26+commun.+Technol."
"173","EP/V043315/1","895D1683-DC4B-4292-BBC6-EC38672BFD10","RCUK Programmes",0,"RCUK+Programmes"
"174","EP/F007132/1","C087E953-30F3-4968-B0F3-D48A5998A2B4","Civil eng. & built environment",30,"Civil+eng.+%26+built+environment"
"175","EP/F007132/1","F95121C7-7C31-40CE-BDBC-1E2BF025AEA6","Energy",5,"Energy"
"176","EP/F007132/1","5E9AA4EC-49E3-4D6A-B545-79DA07CE39E0","Management & Business Studies",65,"Management+%26+Business+Studies"
"177","EP/I003398/1","F442B6BE-8B89-4C01-8D3B-E8A4D320B672","Biomolecules & biochemistry",25,"Biomolecules+%26+biochemistry"
"178","EP/I003398/1","863FC58A-7217-42EA-B076-663F2D770BB8","Chemical measurement",75,"Chemical+measurement"
"179","EP/H051767/1","9CD2DA3B-F052-4076-95ED-10F46E76C382","Optics, photonics & lasers",100,"Optics%2C+photonics+%26+lasers"
"180","EP/H012397/1","EB5F16BB-2772-4DDE-BD6C-3B7A6914B64C","Info. & commun. Technol.",100,"Info.+%26+commun.+Technol."
"181","NS/A000026/1","6723A70B-A523-40AB-9740-B6AD2A0677B7","Medical & health interface",100,"Medical+%26+health+interface"
"182","EP/G036659/1","EB5F16BB-2772-4DDE-BD6C-3B7A6914B64C","Info. & commun. Technol.",100,"Info.+%26+commun.+Technol."
"183","DT/F002904/1","99E0B904-CAB5-4511-AFB3-AA6D2B171F97","Process engineering",100,"Process+engineering"
