name,proportion_male,count
annepia,NA,NA
annesophie,0.010000000000000009,236
annette,0.020000000000000018,9790
annie,0.020000000000000018,28150
annika,0.030000000000000027,11182
annmarie,0.020000000000000018,630
annpreet,NA,NA
annya,0.020000000000000018,133
anoma,0.32999999999999996,69
anotida,1,7
anouk,0.030000000000000027,2915
anoushka,0,203
anouska,0.030000000000000027,179
anran,0.67,9
ansgar,0.99,333
anshu,0.65,222
anson,0.96,617
antal,0.89,2174
anthea,0.010000000000000009,779
anthonius,0.96,46
anthony,0.99,98251
antoine,0.99,38236
antoinette,0.020000000000000018,3250
anton,0.97,25344
antonella,0.010000000000000009,43318
antoni,0.97,5088
antonia,0.020000000000000018,18904
antonin,0.99,2687
antonio,0.99,328654
antonios,0.99,626
antonis,0.99,4922
antoniu,0.92,102
antoniya,0.020000000000000018,54
antony,0.98,15085
antti,1,2715
anuj,1,1000
anup,0.99,695
anuraag,1,37
anuradha,0.21999999999999997,272
anurag,0.99,991
anusha,0.030000000000000027,375
anushree,0.040000000000000036,49
anya,0.030000000000000027,4118
aodhan,1,20
aoife,0.030000000000000027,505
aondoyima,NA,NA
aongus,1,2
apala,0.4,10
apanpreet,NA,NA
apostolos,0.99,1017
appolinaire,0.98,423
aprielle,0,7
apurba,1,49
aqib,0.99,228
ar,0.91,5224
ara,0.32999999999999996,2754
arabella,0.010000000000000009,1346
araf,0.92,158
aram,0.87,2684
aran,0.47,1202
aras,0.92,2854
arash,0.98,6033
aravind,0.99,411
aravinthen,NA,NA
archibald,0.98,259
archie,0.93,1564
ardalan,0.98,302
ardeshir,1,170
ardian,0.97,1813
areeb,0.9,70
arend,0.97,536
aretha,0.020000000000000018,184
argyrios,1,18
argyris,0.99,224
ari,0.65,10413
aria,0.44999999999999996,1758
ariana,0.030000000000000027,3467
ariane,0.030000000000000027,5286
arianna,0.010000000000000009,13949
arief,0.99,1666
ariel,0.81,11501
ariell,0.39,38
ariella,0.010000000000000009,215
arif,0.97,18031
aris,0.93,5555
aristeidis,1,78
aristides,0.99,553
aristomenis,1,20
aritra,0.97,60
arjan,0.99,3545
arjen,0.97,1155
arjun,0.99,1611
arjuna,0.94,212
arkadiusz,1,10849
arkaitz,0.99,1005
armand,0.98,7584
armanda,0.030000000000000027,890
armando,0.99,21130
armands,0.99,265
armin,0.97,6850
arnau,0.98,1454
arnaud,0.99,39701
arne,0.98,4411
arnel,0.98,1661
arnie,0.78,586
arnina,0,6
arno,0.99,7955
arnold,0.99,9187
arnoud,0.99,382
arokia,0.86,21
aron,0.96,3807
arosha,0.55,20
arran,0.97,298
arron,0.98,918
arseni,0.86,106
arsha,0.61,41
arslan,0.97,3322
artem,1,6052
arthur,0.99,20587
artsiom,1,41
artur,1,43424
arturo,0.99,15987
arul,0.95,428
arumugam,0.93,113
arun,0.98,4661
aruna,0.47,566
arushi,0.35,37
arutiun,1,1
arutyun,0.95,20
arvind,0.99,1448
arvydas,0.99,350
arwen,0.050000000000000044,817
arwyn,0.8,30
aryan,0.96,2001
arzhang,0.96,25
arzu,0.030000000000000027,17457
asa,0.66,1872
asaad,0.97,701
asad,0.97,4387
asangaedem,NA,NA
asem,0.71,686
asen,0.87,326
asfand,1,81
ashay,0.95,20
asheeka,0,2
asher,0.9,566
ashim,0.98,157
ashish,0.99,3872
ashkan,0.99,1814
ashleigh,0.06999999999999995,1218
ashley,0.39,13738
ashok,0.99,2574
ashot,0.99,538
ashraf,0.97,7050
ashu,0.86,885
ashutosh,0.99,758
ashveer,1,12
ashvni,1,1
