subject_weight_id,grant_ref,subject_id,percentage
D56C5B4A-5FD6-4BE6-B3CC-64B052FB6485,EP/K031686/1,DEA11FBC-BEED-4EDD-890B-97D728462D26,50
135B0092-90EC-4256-8510-81AA5AAF2AE7,EP/D001730/1,64596636-AE88-4F6E-A816-9C4C203E1197,70
329171A1-22AA-4140-8C78-F160907C3A37,EP/D001730/1,E847DD9B-2053-4BC7-97A9-4213B185C968,30
45467059-1B5D-42E6-8FBF-56D72EE610B6,EP/H027270/1,DEA11FBC-BEED-4EDD-890B-97D728462D26,50
0624261A-145D-4933-8E49-2784188D4ADB,EP/H027270/1,6723A70B-A523-40AB-9740-B6AD2A0677B7,50
173C5A0F-585E-4BDA-9339-6FE1BE67CF68,EP/E04414X/1,E847DD9B-2053-4BC7-97A9-4213B185C968,100
A95A287D-919B-4457-AE48-CEB3CCCCF7DE,EP/M001946/1,64596636-AE88-4F6E-A816-9C4C203E1197,60
98F2018C-AD47-43AE-ABEA-707F5551D89C,EP/M001946/1,666CC8F4-4525-49AF-91C1-5675E0C8ADDF,40
A4115369-A2E4-443E-B304-73FE1375C124,EP/V046527/1,DEA11FBC-BEED-4EDD-890B-97D728462D26,100
70BD66A1-BFBF-432C-9883-3FE592F4ECAB,EP/H027998/1,DEA11FBC-BEED-4EDD-890B-97D728462D26,100
B00F7149-3B7A-40B9-9585-4A032A4E11F6,EP/F06599X/1,C087E953-30F3-4968-B0F3-D48A5998A2B4,10
F3F4AEB2-AF68-476D-9503-B32DE529C318,EP/F06599X/1,EB5F16BB-2772-4DDE-BD6C-3B7A6914B64C,15
21CC49EA-C392-4769-99DD-C76C817F5B3D,EP/F06599X/1,772CD758-53CD-407F-9B2C-F2B861E86155,40
B25F35E4-A283-4D2F-9161-AA0B3E378B00,EP/F06599X/1,FB535BD0-E265-4C0A-8532-32DCB83A3951,35
06863246-9ECE-433D-8B40-1FFC6CAF88E5,EP/R031193/1,EB5F16BB-2772-4DDE-BD6C-3B7A6914B64C,100
14897E7A-A1DA-4520-BEFC-3D8D0EDEFC70,EP/J006793/1,772CD758-53CD-407F-9B2C-F2B861E86155,100
B1FACFC5-8D82-4C88-B0EA-B0B416EBCFA4,EP/E021956/1,C087E953-30F3-4968-B0F3-D48A5998A2B4,100
A060E108-4E02-4817-9DF0-A135CCC68C05,EP/J016721/1,EB5F16BB-2772-4DDE-BD6C-3B7A6914B64C,100
